sku,title,description,brand,product_type,gender,age_group,occasion,url_key,categories,created_at,updated_at,variant_count,product_ids,size,color,price,stock_status
25914901,Samantha Pull-On Pants,,,simple,,,,,,2019-09-03,2023-10-26,8,"231858,231861,231864,231867,231870,231873,231876,231879","04,06,08,10,12,14,16,18",black,79.99,
25915301,Ali Felled Crop Wrap Coat,,,simple,,,,,,2019-07-08,2023-10-26,7,"179721,179724,179727,179730,179733,179736,179739","04,06,08,10,12,14,16",oatmeal,129.99,
25915503,Angelina Cowl Neck Blouse,,,simple,,,,,,2019-07-21,2023-10-26,7,"182373,182376,182379,182382,182385,182388,182391","04,06,08,10,12,14,16",silver blue,69.99,
25915601,Heaven Lace Strapless Prom Dress,,,simple,,,,,,2019-09-03,2023-10-26,8,"225312,225318,225324,225330,225336,225342,225348,225351","04,06,08,10,12,14,16,18",purple,0.0,
25915901,Joanna Paper Bag Tapered Pants,,,simple,,,,,,2019-07-08,2023-10-26,7,"179847,179850,179853,179856,179859,179862,179865","04,06,08,10,12,14,16",grey marle,99.99,
25916001,Madison Wide-Leg Culottes,,,simple,,,,,,2019-09-03,2023-10-26,8,"226602,226605,226608,226611,226614,226617,226620,226623","04,06,08,10,12,14,16,18",porcelain,89.99,
25916201,Ronnie Spot Wrap Mini Dress,,,simple,,,,,,2019-09-12,2023-10-26,7,"248043,248058,248061,248064,248067,248073,248115","04,06,08,10,12,14,16",spot,149.99,
25916501,Kylie Cowl Neck Satin Dress,,,simple,,,,,,2019-05-27,2023-10-26,7,"174134,174137,174140,174143,174146,174149,174152","04,06,08,10,12,14,16",deep burgundy,169.99,
25916601,Audrey Embroidered Blouse,,,simple,,,,,,2019-09-03,2023-10-26,7,"223821,223827,223833,223839,223845,223851,223854","04,06,08,10,12,14,16",burnt butter,79.99,
25916701,Danielle Lace-Up Front Knit Dress,,,simple,,,,,,2019-04-09,2023-10-26,7,"165218,165221,165224,165227,165230,165233,165236","04,06,08,10,12,14,16",black,119.99,
25916802,Macie Skater Dress,,,simple,,,,,,2019-07-04,2023-10-26,8,"179349,179352,179355,179358,179361,179364,179367,179370","04,06,08,10,12,14,16,18",midnight bloom,139.99,
25916804,MACIE SKATER DRESS,,,simple,,,,,,2019-10-18,2023-10-26,7,"260011,260029,260035,260044,260050,260059,260137","04,06,08,10,12,14,16",autumnal floral,159.99,
25916805,Macie Skater Dress,,,simple,,,,,,2019-09-03,2023-10-26,8,"231459,231462,231465,231468,231471,231474,231477,231480","04,06,08,10,12,14,16,18",porcelain bloom,149.99,
25916901,Sheana Lace Stitch Knitted Dress,,,simple,,,,,,2019-04-23,2023-10-26,7,"168122,168125,168128,168131,168134,168137,168140","04,06,08,10,12,14,16",black,139.99,
25917603,Sasha Petite Tie Waist Pants,,,simple,,,,,,2019-05-23,2023-10-26,7,"173756,173759,173762,173765,173768,173771,173774","04,06,08,10,12,14,16",black,89.99,
25917701,9351746293890,,,simple,,,,,,2019-09-03,2023-10-26,7,"237282,237285,237288,237291,237294,237297,237300","04,06,08,10,12,14,16",desert sun,99.99,
25917702,Lilly Petite Tiered Maxi Skirt,,,simple,,,,,,2019-08-21,2023-10-26,6,"187845,187848,187851,187854,187857,187860","04,06,08,10,12,14",blush,99.99,
25917802,Willow Wrap Blazer,,,simple,,,,,,2019-06-11,2023-10-26,7,"175441,175444,175447,175450,175453,175456,175459","04,06,08,10,12,14,16",black,129.99,
25917803,Willow Wrap Blazer,,,simple,,,,,,2019-06-11,2023-10-26,7,"175363,175366,175369,175372,175375,175378,175381","04,06,08,10,12,14,16",dusty blush,129.99,
25917901,Jazz herring bone,,,simple,,,,,,2019-09-03,2023-10-26,6,"226806,226809,226812,226815,226818,226821","06,08,10,12,14,16",apricot,189.99,
25918101,9351746295627,,,simple,,,,,,2019-09-03,2023-10-26,7,"237735,237738,237741,237744,237747,237750,237753","04,06,08,10,12,14,16",desert sunset,59.99,
25918102,Aria Petite Smocked Halter Top,,,simple,,,,,,2019-08-21,2023-10-26,6,"188025,188028,188031,188034,188037,188040","04,06,08,10,12,14",blush,59.99,
25918202,Estelle Extended Ruffle Blouse,,,simple,,,,,,2019-07-02,2023-10-26,7,"178272,178275,178278,178281,178284,178287,178290","04,06,08,10,12,14,16",spot,69.99,
25918302,Isabella Petite Belted Ruffle Hem Dress,,,simple,,,,,,2019-05-23,2023-10-26,7,"173672,173675,173678,173681,173684,173687,173690","04,06,08,10,12,14,16",navy,159.99,
25918502,9351746295399,,,simple,,,,,,2019-09-03,2023-10-26,7,"237444,237447,237450,237453,237456,237459,237462","04,06,08,10,12,14,16",floral toile print,149.99,
25918601,Ally Petite Lace Bodice Jumpsuit,,,simple,,,,,,2019-05-23,2023-10-26,7,"173219,173222,173225,173228,173231,173234,173237","04,06,08,10,12,14,16",black,159.99,
25918702,Zoe Petite Halterneck Jumpsuit,,,simple,,,,,,2019-05-23,2023-10-26,7,"172910,172913,172916,172919,172922,172925,172928","04,06,08,10,12,14,16",navy / porcelain stripe,139.99,
25918801,Gail Petite Glitter Jersey Dress,,,simple,,,,,,2019-05-20,2023-10-26,7,"171758,171761,171764,171767,171770,171773,171776","04,06,08,10,12,14,16",black,149.99,
25919301,Michelle Lace Stitch Dress,,,simple,,,,,,2019-05-14,2023-10-26,7,"171113,171116,171119,171122,171125,171128,171131","04,06,08,10,12,14,16",royal wine,139.99,
25919501,Sammy Smock Ruffle Blouse,,,simple,,,,,,2019-06-03,2023-10-26,7,"174655,174658,174661,174664,174667,174670,174673","04,06,08,10,12,14,16",moroccan paisley,89.99,
25920001,Zendaya Cut Out High Neck Bodysuit,,,simple,,,,,,2019-05-22,2023-10-26,6,"172241,172244,172247,172250,172253,172256","l,m,s,xl,xs,xxs",black,59.99,
25920901,Bridey Lace Bustier,,,simple,,,,,,2019-09-03,2023-10-26,7,"224367,224373,224376,224382,224388,224394,224397","04,06,08,10,12,14,16",black,79.99,
